query,grade,id,snippet,notes
Is it ok to hear my heart beat?,3,4542:0,Why can I hear my heart beat louder after rigorous exercise,
Is it ok to hear my heart beat?,3,5264:0,Is there such a thing as a hard heart beat? (as opposed to a fast heart beat),
Is it ok to hear my heart beat?,2,5264:5,Would this 'harder' heat beat burn more calories than a normal strength heart beat at the same bpm?,
Is it ok to hear my heart beat?,3,825:0,Is it normal to feel your heart beat in your chest?,
Is it ok to hear my heart beat?,2,20236:0,"How does cold weather affect blood flow, heart beat, and heart attack?",
Is it ok to hear my heart beat?,3,825:0,Is it normal to feel your heart beat in your chest?,
Is it ok to hear my heart beat?,3,12427:3,"The other day when i woke up i felt my heart beating hard, and i occasionally feel my heart beating without touching it with my hands.",
Is it ok to hear my heart beat?,3,5264:2,After a heavy set of squats for instance I can hear my heart beating in my ears and feel it beating in my chest.,beating matched to beat
Is it ok to hear my heart beat?,3,825:1,"Is it normal for a person to at times feel their heart beat in their chest without actually placing their hand on their chest, while at other times not be able to (even though the pulse is strong, regular and consistent in both instances) or is this potentially a symptom of a cardiovascular disease?",
Is it ok to hear my heart beat?,3,4542:1,As I understand exercise increases hear rate. Why should an increase in hear rate feel like the heart is also beating louder (not just faster).,
what are the food combinations to avoid?,3,8850:1,I read that the combination of bananas and eggs is poisonous.,<nutrition><food-poisoning>,
what are the food combinations to avoid?,1,18504:4,in different combinations and looked into research articles related to breast cancer and its metastases).,
what are the food combinations to avoid?,1,5708:3,Is the stomach acid combined with healthy food the same as stomach acid combined with unhealthy food?,<digestion><stomach>,
what are the food combinations to avoid?,1,5708:4,The endpoint is that I'm trying to find out will stomach acid combined with healthy food make less damage to the esophagus than the stomach acid combined with unhealthy food or is stomach acid just stomach acid no matter which type of food it interacts with?,<digestion><stomach>,
what are the food combinations to avoid?,1,18921:0,"Foods/drugs/vitamins to avoid, or not avoid, for tardive dyskinesia",
what are the food combinations to avoid?,1,18921:5,"Is there anything known on foods/vitamins/drugs to avoid, or not avoid, in a similar vein to this study?",
what are the food combinations to avoid?,2,17340:4,What foods to avoid or supplements to take?,
what are the food combinations to avoid?,1,1469:0,"What is Junk food? When doctors advise to avoid junk food, what does that mean?",no match on ‘combinations’
what are the food combinations to avoid?,1,16067:2,"What does this mean? Is there now a documented food safety risk for Gatorade, and that perhaps I should avoid drinking it?",no match on ‘combinations’
what are the food combinations to avoid?,1,19424:35,How does one explain 'avoid purines in food' if purine-rich plant food isn't counting? How does one explain 'avoid alcohol' if alcoholic wine seems fine?,no match on ‘combinations’
what are the food combinations to avoid?,2,1157:1,"As a pollen allergic, should I avoid of eating some kinds of food which may increase pollen allergy symptoms?",no match on ‘combinations’
what are the food combinations to avoid?,1,24361:5,"Now, I am really curious; could you avoid food poisoning when eating bad oysters by drinking unhealthy amounts of hard liquor at the same time?",no match on ‘combinations’
what are the food combinations to avoid?,1,1469:1,"A doctor has advised my friend to leave off eating junk food. Following are things which he eats generally, but which are junk among them?",food avoid → junk (?)
what are the food combinations to avoid?,1,15145:2,"elimination diets, a low carb diet, intermittent fasting and grain elimination.",
what are the food combinations to avoid?,1,1187:0,Are there any sustainable alternatives to eating food?,
what are the food combinations to avoid?,1,9539:2,"Assortment of the chains typically include the following: hamburgers/whoppers, cheeseburgers, sandwiches, French fries (chips), fried chicken and so on.",
what are the food combinations to avoid?,1,13041:6,Or is it not advisable to eat any of the food?,
what are negative eye powers?,2,27515:0,Why do optometrists recommend dilation when the power of a lens can be measured even by a ruler?,<eye><ophthalmology><optometry><eye-exam>,
what are negative eye powers?,2,27515:1,"I don't understand why optometrists dilate your eyes, which is a very annoying thing, when eye power can be measured by just a ruler at your home as suggested by this, which just uses a 100/(distance after which your blur horizon begins), which logically is the correct method, as suggested by physics laws governing lenses.",<eye><ophthalmology><optometry><eye-exam>,
what are negative eye powers?,1,20794:0,Why can't we just close our eyes periodically to reduce eye strain?,
what are negative eye powers?,1,8890:0,Can eye drops cure dry eyes?,
what are negative eye powers?,1,18561:0,What are the official eye colors?,
what are negative eye powers?,1,20794:2,"From what I understand, it works by allowing the muscles the eye uses to relax. However, I don't follow why the same can't be accomplished by just closing the eyes.",
what are negative eye powers?,3,3355:4,Could someone explain me how what eye power -6 means in respect to closeness of blindness? What can be the minimum negative eye power and maximum positive eye power of an eye?,
what are negative eye powers?,3,957:5,"I saw negative integers (like -5,-2) sometimes, but I didn't understand how they work exactly. I guess they measure how bad your eyesight is compare to average. My optometrist used dioptries.",
what are negative eye powers?,1,21337:2,"How accurate are the tests? What are the odds that Sophie Trudeau's results are a false positive, or that Justin Trudeau's negative result is a false negative?",no match on ‘eye powers’
what are negative eye powers?,1,18872:2,"https://www. fixmanboobs.com. au/the-anti-gynecomastia-powers-of-turmeric/) claiming that the ingredient curcumin in turmeric is an effective estrogen blocker, and hence can be used to reduce gynecomastia (male breasts).",no match on ‘eye’
what are negative eye powers?,1,4058:1,"I constantly crack (or pop) my knuckles. Are there any negative (or positive) side effects to it? I like to crack my knuckles, but I want to stop if it can have negative effects.",
what are negative eye powers?,2,3355:1,One of my friends went to an eye specialist for checkup and the doctor told him that his eye power changed from -6 from -4.5.,
what are negative eye powers?,3,3355:0,What does eye power -6 means and how close to blindness is it?,
what are negative eye powers?,3,3355:4,Could someone explain me how what eye power -6 means in respect to closeness of blindness? What can be the minimum negative eye power and maximum positive eye power of an eye?,
what are negative eye powers?,3,3355:3,I can understand that -6 means the vision is in very poor state but don’t have any idea how much worse it is.,
what are negative eye powers?,1,20794:3,"Does it not let the muscles they eye use relax? If so, why not?",
How many calories do I have to burn to lose 1 Kilogram in weight?,1,14273:1,"So, I recently learned about how exactly obesity is formed. I learned that if you consume too many calories but don't burn enough of them, your body will start to form fat.",<weight><overweight><obesity>,
How many calories do I have to burn to lose 1 Kilogram in weight?,1,1238:1,"I am 19 years old, am 6 feet and 1 inch (1.85 meters) tall, and I weigh 130 pounds (59 kilograms). How can I increase my body weight? Are there any tablets that will do the job?",
How many calories do I have to burn to lose 1 Kilogram in weight?,1,4426:1,I have friends who are trying to lose weight and they keep saying they can't eat certain foods because it is high in carbs and carbs are fattening.,
How many calories do I have to burn to lose 1 Kilogram in weight?,2,5974:4,Prior to that I was walking on the treadmill for 60 minutes at about 3 to 3.5 mph and an incline of 6 and burning about 400 per day.,
How many calories do I have to burn to lose 1 Kilogram in weight?,2,406:1,"A commonly quoted figure is that 1-2 pounds (0.5-1 kg) a week is a healthy rate at which to lose weight, and that 'crash diets' are bad for you.",
How many calories do I have to burn to lose 1 Kilogram in weight?,2,1284:4,My thinking is from what I know is weight lost is dependent on how many calories you put into yourselves and how many you burn off.,
How many calories do I have to burn to lose 1 Kilogram in weight?,2,14556:0,How many calories does it burn to regrow a liver?,
How many calories do I have to burn to lose 1 Kilogram in weight?,1,14714:0,How should I account for a blood donation while couting calories/trying to lose weight?,
How many calories do I have to burn to lose 1 Kilogram in weight?,3,17419:2,The standard answer is therefore that a deficit of 7700 Kcal is needed to lose 1 kg of body weight in the form of body fat.,
How many calories do I have to burn to lose 1 Kilogram in weight?,3,5394:0,"How many Calories Deficit Equals 1 KG Loss, approximately",
How many calories do I have to burn to lose 1 Kilogram in weight?,3,5394:1,"How many Calories Deficit Equals 1 KG Lost? I intend to loose weight and burn 500 calories daily in Gym. How many Calories Deficit Equals 1 KG Weight Loss, approximately?",
How many calories do I have to burn to lose 1 Kilogram in weight?,3,17419:0,"7700 Kcal deficit per per kg weight loss, or just 3600 Kcal deficit per kg weight loss?",
How many calories do I have to burn to lose 1 Kilogram in weight?,3,797:0,Does 3500 calories really equal a pound?,
prevent stomach ache when taking medication,1,1696:3,"Whenever I have a head ache, I take an APC. I suspect it's actually the aspirin in there that does the job, since when I take just paracetamol, it doesn't do squat.",<medications><analgesics>,
prevent stomach ache when taking medication,1,16659:2,"What are some useful methods, strategies or techniques that are available to an individual to prevent them from forgetting to take their medication and help them recall if they have already taken it?",<medications>,
prevent stomach ache when taking medication,3,4433:0,"When is a stomach ""empty"" for the purpose of taking medication?",
prevent stomach ache when taking medication,1,9520:0,Stomach ache after drinking tea,
prevent stomach ache when taking medication,3,4525:1,"Very often, doctors or pharmacists will advise patients to take certain pills with food to ""act as a buffer"" so the patient is less likely to get a stomach ache from taking the pill.",
prevent stomach ache when taking medication,2,5354:2,"Saccharomyces boulardii with a ""full stomach antibiotic"" what's the best thing to do? Take them together even though you are on a full stomach or take Saccharomyces boulardii before eating and then antibiotics after?",
prevent stomach ache when taking medication,3,5354:1,On Saccharomyces boulardii leaflet it's written that it has to be taken on an empty stomach (at least 15 minutes before eating) but if it's to be taken with antibiotics then you should take them together.,
prevent stomach ache when taking medication,2,5354:0,Saccharomyces boulardii with antibiotics. When to take?,
prevent stomach ache when taking medication,1,21264:10,Does drinking water constantly prevent viral infection?,
prevent stomach ache when taking medication,1,20442:0,Preventing NSAID-associated GI bleeding,
prevent stomach ache when taking medication,1,9520:1,I always get a stomach-ache after drinking tea that contains actual tea (so not from fruit tea or herbal tea).,
prevent stomach ache when taking medication,1,9520:3,How can I find out which one causes the stomach ache? I don't like cola and coffee so never really drink other things with caffeine.,
prevent stomach ache when taking medication,3,4525:0,How much food is necessary to buffer the stomach when taking medicine?,
prevent stomach ache when taking medication,3,4525:6,"(As a side note, not all pills should be taken with food; some pills are to be taken on an empty stomach.",
prevent stomach ache when taking medication,2,11820:0,can I take pills before food?,
is it ok to use a pillow?,1,1222:7,"If they are bad, is it still ok to use them if I brush my teeth right after using them?",
is it ok to use a pillow?,1,13407:0,Is it OK to use soap to clean penis?,
is it ok to use a pillow?,1,13407:1,I have something white dots on my penis. Is it OK to use soap to clean penis? Or what should you use to clean penis?,
is it ok to use a pillow?,1,1222:5,Or is it ok assuming I do not use them too much?,
is it ok to use a pillow?,3,5044:11,"Sleep benefits: Some argue that pillows interfere with quality sleep, especially when people use the wrong pillow.",
is it ok to use a pillow?,1,8968:0,Is it ok to use sterile eye drops every day,
is it ok to use a pillow?,3,5044:0,Is it better to sleep without a pillow?,
is it ok to use a pillow?,3,5044:2,"Is Sleeping Without a Pillow a Good Choice? Yes, it is.",
is it ok to use a pillow?,3,5044:6,"http://www. snoringmouthpiece-reviews.com/sleep-without-pillow/ While sleeping with or without a pillow is a personal preference, there are some medical experts that believe there are real benefits of sleeping without a pillow.",
is it ok to use a pillow?,3,5044:1,I have read several web pages that mention the potential benefits of sleeping without a pillow. Examples: http://www. newhealthadvisor.com/Sleeping-Without-a-Pillow.,
is it ok to use a pillow?,2,5044:5,"Even as we age, our body, including heads and necks, is able to rest comfortably without the support of a pillow.",
my urine is very yellow. Is this a problem?,1,9035:1,"I have heard of people using urine as a mouthwash. There are a lot of claims that it helps to cure a variety of dental problems, such as gum inflammation. So far, I can only find anecdotal evidence.",<oral-health><urine><gums><mouthwash><gingivitis>,
my urine is very yellow. Is this a problem?,3,99:0,Why does my antibiotic make my urine yellow?,
my urine is very yellow. Is this a problem?,1,16926:4,"As I understand, specific gravity is calculated for each period.",
my urine is very yellow. Is this a problem?,1,16926:7,Maybe some other test(s) are used instead of it in the West?,
my urine is very yellow. Is this a problem?,3,99:1,"When I was given antibiotics for fever by my doctor, I noticed that my urine is unusually yellow. Why is that?",
my urine is very yellow. Is this a problem?,1,13662:0,"Why are parts of my teeth super white, but most yellow?",
my urine is very yellow. Is this a problem?,1,11995:1,I came from my doctor and he did a urine sample and said there was blood in my urine.,
my urine is very yellow. Is this a problem?,1,16926:0,Is the Zimnitsky Urine Test used in the West at all? What tests are used instead?,
my urine is very yellow. Is this a problem?,1,7177:5,"I can reduce the problem by drinking plenty of water before going to bed, but I will wake up to pee in the middle of the night and the urine is very diluted so I assume I drank more water than needed to keep the salt balance (I've read 0.6 % blood salt concentration), but I can still very much feel the effect.",
my urine is very yellow. Is this a problem?,2,14785:1,"I was warned recently that eating beets can cause reddish-purple urine, which got me thinking.",
my urine is very yellow. Is this a problem?,2,7010:3,Does it matter if the urine color changes dramatically like when a person takes a large B-complex vitamin capsule?,
my urine is very yellow. Is this a problem?,1,1213:0,Is it safe to drink urine when you have nothing else to drink?,
is it ok to go to the pool after I had a piercing?,3,5733:2,I swim regularly (4-5 times a week) in a swimming pool and I was wondering if there is any problem with swimming during the healing period of the piercing.,
is it ok to go to the pool after I had a piercing?,2,1270:1,"OK, I have an ear infection. The doctor says that I should not allow any water to go into my ears.",
is it ok to go to the pool after I had a piercing?,1,14531:1,"To their horror, they saw two bodies in the deep end of the pool. They all jumped into the pool and pulled out the bodies.",
is it ok to go to the pool after I had a piercing?,3,5733:0,Is it safe to swim during the healing period of a nipple piercing?,
is it ok to go to the pool after I had a piercing?,1,5733:4,"P.S. I haven't still decided if I am going to get the piercing or not, that's the reason why I haven't still asked a professional about it.",
is it ok to go to the pool after I had a piercing?,3,5733:3,"Is it possible or should it be avoided? In case it is possible, should any special precautions be taken?",
is it ok to go to the pool after I had a piercing?,1,5733:1,I am a male and I am considering to get one of my nipples pierced.,
is it ok to go to the pool after I had a piercing?,1,11846:6,"A good example is playing pool. When I look at the ball I am going to want to pot, I see my cue and the white ball 'double' and am unable to make the shot.",
is it ok to go to the pool after I had a piercing?,1,23998:13,"If they are tested by pools (and the pool size is maintained at 10 swabs per pool), the ten infected employees will still not have been positively identified, making a third round and fourth round of testing a necessity.",
is it ok to go to the pool after I had a piercing?,1,11464:4,Is it ok if I just say I'm not taking any medications?,
does gun powder help sealing a wound?,2,4335:4,Presumably to seal the wound more completely by cauterizing it.,<first-aid><stitches><penetrate-trauma-wound><exsanguination>,
does gun powder help sealing a wound?,1,3835:3,"I was also wondering, since grafting is the usual medical practice for such wounds, would a stitch help?",
does gun powder help sealing a wound?,1,17010:7,"While trying to research this, I found a help page of the German Red Cross stating that it is forbidden to (a) touch, (b) clean, (c) apply powder, creams, sprays, disinfectants and (d) remove foreign matter.",
does gun powder help sealing a wound?,2,66:1,I have used vitamin E to help prevent scarring. Are there any other topical applications that can assist wound healing and prevent scarring?,
does gun powder help sealing a wound?,1,12908:1,"In case a victim of an accident or gun shot or other trauma of that sort is heavily bleeding, does it increase survival chances to tell them to stay awake?",
does gun powder help sealing a wound?,3,4335:3,"The solution presented in the film is to rub some gunpowder (assuming period accuracy, this would be early 1800's black powder, not the modern stuff) into the wound and then ignite it.",
does gun powder help sealing a wound?,1,9101:4,What is the absorption rate of powder vitamin?,
does gun powder help sealing a wound?,1,19179:3,"My guess is that because she's lost a lot of blood due to a gun shot, her blood pressure would be lower.",
does gun powder help sealing a wound?,3,4335:6,Is gunpowder a plausible method of closing a wound if/when no other alternatives are readily available?,
does gun powder help sealing a wound?,3,4335:0,Can you cauterize a wound with gunpowder?,
does gun powder help sealing a wound?,1,11917:0,When not to apply pressure to bullet wound?,
does gun powder help sealing a wound?,1,113:4,Does using urine helps in this regad?,
is it ok to eat after brushing my teeth at night?,1,1222:7,"If they are bad, is it still ok to use them if I brush my teeth right after using them?",<dentistry><side-effects><micronutrients><oral-health>,
is it ok to eat after brushing my teeth at night?,1,20822:2,"I don't eat breakfast in the morning, and told the dentist that, and they confirmed that first thing in the morning was still the recommendation.",
is it ok to eat after brushing my teeth at night?,1,20822:3,"I didn't press them more, but now wish that I had done so.",
is it ok to eat after brushing my teeth at night?,1,20822:10,"Is there any medical significance to brushing your teeth after waking up, if you're not going to eat until lunch?",
is it ok to eat after brushing my teeth at night?,1,10013:2,I brush two times a day once in the morning and once in the night. But I am still having yellow stains in my teeth.,
is it ok to eat after brushing my teeth at night?,1,12800:3,"Further, can I eat potatoes and breads without brushing ever again and not have any adverse effects on my teeth?",
is it ok to eat after brushing my teeth at night?,1,20822:0,Does brushing your teeth immediately after sleeping have some medical significance?,
is it ok to eat after brushing my teeth at night?,2,4044:2,"Sometimes I get hungry after brushing my teeth in the evening, however, and I'll be tempted to eat something.",
is it ok to eat after brushing my teeth at night?,3,4044:0,Is eating after brushing before bed all that bad?,
is it ok to eat after brushing my teeth at night?,3,4044:2,"Sometimes I get hungry after brushing my teeth in the evening, however, and I'll be tempted to eat something.",
is it ok to eat after brushing my teeth at night?,1,20822:0,Does brushing your teeth immediately after sleeping have some medical significance?,
is it ok to eat after brushing my teeth at night?,2,5597:1,"Usually in the morning I brush my teeth after breakfast. But my dentist told me that it's better not brush them right after eating food, because eating makes them soft.",
what are the effects of drinking coffee?,1,65:4,"I typically drink green tea instead of coffee, since the effect is more mild.",<caffeine><drug-metabolism><energy><shake-tremble-fidget>,
what are the effects of drinking coffee?,3,16258:2,"I do drink quite a few cups of coffee. And I'm aware that, contrary to belief, cups of coffee do actually count as water intake.",<water>,
what are the effects of drinking coffee?,2,309:0,How much coffee can a healthy adult drink?,<nutrition>,
what are the effects of drinking coffee?,3,16310:0,Coffee for solving sleep problems?,
what are the effects of drinking coffee?,3,16279:5,Is my hypothesis correct?,
what are the effects of drinking coffee?,3,7348:1,"I'm in my mid thirties. For all my life, the only beverage I liked was water.",
what are the effects of drinking coffee?,1,22950:3,What's the worst thing that could happen?,
what are the effects of drinking coffee?,2,309:1,How much coffee can a healthy adult drink before it starts to affect them in a bad way?,
what are the effects of drinking coffee?,3,17497:0,Did science backtrack regarding coffee causing dehydration?,
what are the effects of drinking coffee?,3,9083:0,How can caffeine cause nausea?,
what are the effects of drinking coffee?,3,12008:0,How does coffee affect blood sugar levels?,
what are the effects of drinking coffee?,2,7348:0,Should i start drinking coffee or tea for health reasons?,
what are the effects of drinking coffee?,3,1952:0,How much space should be in between taking an antidepressant and drinking coffee?,
what are the effects of drinking coffee?,3,4879:3,But coffee has many more active substances than just caffeine. What effect does the drinking of coffee have on fluid balance in the body?,
what are the effects of drinking coffee?,3,5237:1,"I love my coffee. Though, when I have it, I get a headache. This was quite disappointing so I stopped drinking it.",
what are the effects of drinking coffee?,2,9319:9,"Long story short, if I am drinking 1 of these a day.",
wrist pain,3,11842:0,Wrist pain when bent back,
wrist pain,3,22922:0,Wrist pain when bearing weight and bending both sides,
wrist pain,3,191:0,Right wrist pain from using computer mouse,
wrist pain,3,11842:5,It has been this way for a few weeks now.,
wrist pain,3,11842:3,"The pain is along the top of the wrist, somewhat on the ulnar side although radiating out to the whole wrist to some extent.",
wrist pain,3,22922:2,2018 begining I started feeling very light pain in the middle of my right wrist joint when ever I use it to stand up pushing my self using my right hand agents the ground when Im sitting or standing.,
wrist pain,3,22922:5,I went to 5 Doc so far but no one told me exactly whats the issue.,
wrist pain,3,11842:1,"I get quite a strong pain in my wrist when I bend it back, or play a wrist-intensive sport like squash, but the rest of the time my wrist is OK and my fingers don't feel any different either.",
athletes's foot,3,7536:3,"The maker, Novartis, advertises it as a treatment for athlete's foot. But the company writes that it ""is only recommended for the treatment of athlete's foot (tinea between the toes)"".",<medications><fungal-infection><athletes-foot><jock-itch-tinea-cruris><ringworm>,
athletes's foot,3,3618:1,"As you may know, one of the reasons athletes's foot and jock itch fungus are so hard to kill with OTC medicines like Lotrimin and Lamisil is because after you treat it, it is extremely difficult not to reinfect yourself with the fungal spores by re-wearing the same clothes and sleeping in the same bed sheets.",
athletes's foot,2,10213:0,Can pitted keratolysis consist of only one lesion?,
athletes's foot,3,13058:0,What are the health implications of using ethylene glycol to treat athletes foot (tinea pedis),
athletes's foot,2,9264:0,What causes smelly feet?,
athletes's foot,3,3618:0,How to do laundry to kill and prevent athlete's foot fungus?,
athletes's foot,3,9264:2,"condition called hyperhidrosis, which makes you sweat more than usual. Fungal infections, such as athlete's foot, can also lead to bad foot  odour.",
athletes's foot,2,13058:5,I would guess this is still below the actual exposure that any car mechanic would get on a daily base during his/her work.,
athletes's foot,3,10213:1,Is this an instance of pitted keratolysis? There are no other lesions on the feet. Or is it athlete's foot?,
athletes's foot,3,13058:4,"Areas to be treated are the soles of both feet, the toes with the area between them, under the toe nails and the area on top of the toes.",
athletes's foot,1,13542:1,Recently I bought a pair of running shoes (with a lot of cushioning) and another pair of casual shoes.,
athletes's foot,1,3177:3,"When I watch football matches, I notice that this situation seems to be even more extreme in some professional players, i.e. when they're lying naturally on the ground they have their playing foot pointing outward much more than the other foot.",
is washing with hot or cold water better at killing germs?,1,17260:1,"I want to ask, between cold, warm and hot water, which one is better to drink for relieving constipation? Sources and references please.",
is washing with hot or cold water better at killing germs?,3,500:3,Does washing your hands with hot water kill germs better than washing them with cold water?,
is washing with hot or cold water better at killing germs?,3,500:0,Does hot water kill germs better than cold water?,
is washing with hot or cold water better at killing germs?,3,500:1,I was recently told that I should use hot water to wash my hands rather than using cold water because the hot water will kill germs better.,
is washing with hot or cold water better at killing germs?,2,13647:0,When is hand sanitizer appropriate/sufficient in place of warm water and soap?,
is washing with hot or cold water better at killing germs?,1,17260:0,"Drink Cold, Warm, or Hot water. Which one is better for constipation?",
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",1,17540:12,"(Like the amount/% of oxygen being pumped in a LOT of oxygen in the lungs all at once, and the lungs start to hurt?",
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",2,3043:1,We've probably all seen photos of smokers' lungs compared to non-smokers lungs.,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",2,14305:0,how to clean ex smokers lungs,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",2,3553:0,What effects does an oxygen saturation between 90% and 94% have on the body?,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",2,3553:1,"Many different sources note that normal oxygen saturation for healthy people is 95% or higher. Oxygen saturation below 90% or other sources 88%, is considered low.",
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",2,3043:0,"Is ""smokers lungs"" a lie?",
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",1,19746:0,What oxygen saturation level causes fainting?,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",3,501:0,Oxygen saturation value of smokers,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",3,501:4,"When I was a smoker, my own SpO2 was usually 100%. The saturation of my smoker colleagues who tried is also normal.",
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",3,501:2,"I've read (non-sourced Wikipedia FR fragment, no mention of this in Wikipedia EN) and heard (informal discussions with medical and rescue staff) that this value decreases significantly if the subject is a smoker.",
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",3,501:5,"This doesn't prove anything as this does not constitute a study - just a bunch of measure without methodolology -, this is just to say I never observed this phenomenon.",
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",3,501:3,"This raises the following questions: Is this true, and why? What are usual SpO2 values for smokers?",
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",1,3951:0,Bleomycin and Oxygen,
"is it true that smokers suffer from lack of oxygen in their lungs, I think this is oxygen saturation?",1,5884:3,"So in this scenario, the only things he would directly suffer from are lack of freedom and possibly boredom.",
